unit: [ms]

reproducible results only

n = 100

manual implementation

234.1660000000	59.9090000000	59.4050000000	
160.3850000000	134.1360000000	161.1020000000	
170.1020000000	170.1250000000	169.5700000000	
136.0190000000	128.4380000000	114.4690000000	
117.7090000000	89.1240000000	79.4070000000	
104.4140000000	105.6780000000	118.9820000000	

optimized ReproBLAS implementation

5.6130000000	5.3820000000	5.3510000000	
5.3790000000	5.4370000000	5.3620000000	
3.0230000000	2.9140000000	2.8400000000	
1.8870000000	1.8540000000	1.8700000000	
1.7890000000	1.6760000000	1.7230000000	
2.0200000000	2.0130000000	2.0890000000	
2.6640000000	2.9720000000	2.8840000000	
4.3510000000	4.3140000000	4.0040000000	
7.7110000000	7.4260000000	7.6910000000	

n = 100000000

manual implementation

2172.8300000000	2165.9940000000	2158.6230000000	
2103.6130000000	2106.8940000000	2108.4870000000	
1151.9670000000	1131.7490000000	1145.0360000000	
597.8780000000	599.1270000000	591.9760000000	
1777.0640000000	1012.6860000000	1782.2600000000	
1528.8000000000	1544.4870000000	1587.4320000000	
1041.3220000000	1217.6860000000	1115.2340000000	
830.5770000000	753.3460000000	817.5320000000	
742.9420000000	739.6960000000	733.4040000000	

optimized ReproBLAS implementation

55.5570000000	58.7800000000	59.2630000000	
58.2080000000	58.7890000000	58.3020000000	
31.2560000000	31.6320000000	32.1260000000	
18.1550000000	18.3040000000	18.2240000000	
15.2370000000	15.2330000000	15.1490000000	
15.4150000000	15.1370000000	15.0580000000	
16.3390000000	16.9920000000	16.8530000000	
17.9930000000	17.5160000000	17.4190000000	
20.7470000000	21.1690000000	20.2810000000	

maxabs(e) = 10

manual implementation

218.6990000000	214.8730000000	214.7440000000	
227.1450000000	225.4470000000	225.9410000000	
120.1740000000	161.6400000000	216.5590000000	
189.2610000000	189.2110000000	186.7650000000	
133.5830000000	120.9940000000	134.0340000000	
178.6820000000	169.5040000000	152.9400000000	
167.4660000000	136.7340000000	142.3330000000	
123.2160000000	103.1820000000	102.9590000000	
93.6610000000	100.1120000000	167.7490000000	

optimized ReproBLAS implementation

5.6900000000	5.3080000000	5.3230000000	
5.3270000000	5.3030000000	5.5630000000	
2.9550000000	2.8930000000	2.8720000000	
1.8730000000	1.8620000000	1.8920000000	
1.7420000000	1.7480000000	1.7330000000	
2.0570000000	2.0170000000	2.0090000000	
2.7870000000	2.6820000000	2.7110000000	
4.5730000000	4.2130000000	4.1880000000	
7.3560000000	7.4750000000	6.2780000000	

maxabs(e) = 25

manual implementation

219.7310000000	214.9110000000	214.7520000000	
212.3000000000	211.2160000000	212.8140000000	
113.2890000000	112.6210000000	329.5610000000	
225.6620000000	218.9630000000	227.8800000000	
136.6630000000	156.9670000000	134.7240000000	
156.2570000000	149.7400000000	155.4880000000	
112.7770000000	93.7650000000	90.9750000000	
117.1510000000	89.2630000000	88.7260000000	
100.6430000000	96.5210000000	98.3810000000	

optimized ReproBLAS implementation

5.6830000000	5.6370000000	5.6320000000	
5.5320000000	5.4890000000	5.4740000000	
2.9040000000	2.9820000000	2.8900000000	
1.8680000000	1.8600000000	1.8610000000	
1.7530000000	1.7370000000	1.7540000000	
2.1130000000	1.9580000000	2.0930000000	
2.7040000000	2.8900000000	2.7280000000	
4.3230000000	4.4420000000	4.3460000000	
7.0270000000	7.0810000000	6.9980000000	

maxabs(e) = 40

manual implementation

218.6130000000	219.2240000000	231.1990000000	
210.8680000000	210.9420000000	211.2170000000	
115.6380000000	115.2190000000	114.5450000000	
234.4710000000	60.1040000000	60.2720000000	
122.7050000000	152.6970000000	123.5250000000	
170.2230000000	150.2630000000	160.1320000000	
103.8150000000	116.4390000000	87.3440000000	
89.2030000000	106.1950000000	84.3120000000	
93.7850000000	94.7920000000	89.9190000000	

optimized ReproBLAS implementation

5.7640000000	5.3970000000	5.3080000000	
5.2590000000	5.2890000000	5.5230000000	
2.8080000000	2.8640000000	2.9660000000	
1.9770000000	1.8980000000	1.8800000000	
1.6630000000	1.8370000000	1.7040000000	
2.0310000000	2.1020000000	2.1060000000	
2.7940000000	2.8050000000	2.8070000000	
4.3420000000	3.7380000000	4.1070000000	
8.2440000000	7.0070000000	7.5060000000	

maxabs(e) = 55

manual implementation

214.2450000000	221.8680000000	214.6810000000	
228.2840000000	217.3490000000	223.3570000000	
117.1220000000	115.8960000000	114.9570000000	
60.9520000000	60.2510000000	59.8160000000	
167.5860000000	152.9830000000	164.8220000000	
166.3890000000	170.2850000000	165.1690000000	
125.5460000000	103.3520000000	114.7660000000	
96.8230000000	133.7050000000	94.8940000000	
103.0190000000	81.4180000000	87.6400000000	

optimized ReproBLAS implementation

5.5480000000	5.4380000000	5.6520000000	
5.3900000000	5.4690000000	5.5240000000	
3.0550000000	2.9620000000	2.9540000000	
1.8880000000	1.8550000000	1.8940000000	
1.7710000000	1.7340000000	1.6920000000	
2.1370000000	2.0720000000	2.0440000000	
2.8200000000	2.7360000000	2.7730000000	
4.4030000000	4.5730000000	4.4170000000	
7.4250000000	7.3960000000	8.0610000000	

maxabs(e) = 70

manual implementation

225.8120000000	218.0630000000	214.8520000000	
215.7840000000	216.3280000000	215.5850000000	
115.6100000000	115.7780000000	218.8690000000	
183.9350000000	186.6990000000	185.4330000000	
133.5650000000	162.8820000000	133.6680000000	
183.0440000000	177.0680000000	200.3060000000	
127.5860000000	103.3650000000	116.1510000000	
124.3920000000	127.3900000000	90.7240000000	
97.7700000000	98.8110000000	138.3150000000	

optimized ReproBLAS implementation

5.6780000000	5.4430000000	5.3240000000	
5.3130000000	5.3050000000	5.3770000000	
2.9080000000	2.8570000000	2.8940000000	
1.8930000000	1.8630000000	1.8730000000	
1.7890000000	1.6750000000	1.7240000000	
2.0360000000	2.0250000000	2.1340000000	
2.8410000000	2.5260000000	2.5420000000	
4.5460000000	4.1960000000	4.1180000000	
7.3330000000	6.9190000000	7.5040000000	

maxabs(e) = 85

manual implementation

215.5420000000	215.2850000000	215.5490000000	
211.9000000000	210.1110000000	212.8370000000	
113.2540000000	114.1750000000	331.5280000000	
224.0520000000	219.5860000000	229.0270000000	
139.7650000000	157.4110000000	136.6440000000	
149.2500000000	158.1790000000	156.8580000000	
111.0770000000	132.5540000000	93.5970000000	
99.4130000000	91.4280000000	82.3280000000	
89.8870000000	95.0420000000	85.4340000000	

optimized ReproBLAS implementation

5.5800000000	5.3780000000	5.5020000000	
5.3130000000	5.4460000000	5.5650000000	
2.8390000000	2.8680000000	2.9420000000	
1.8260000000	1.8870000000	1.9580000000	
1.7230000000	1.7180000000	1.7100000000	
2.0210000000	1.9860000000	2.0500000000	
2.8900000000	3.0140000000	2.7350000000	
4.2700000000	4.3860000000	4.5450000000	
6.6100000000	7.5420000000	7.4150000000	

maxabs(e) = 100

manual implementation

215.6810000000	215.7490000000	214.5860000000	
211.0820000000	225.1300000000	212.7730000000	
114.4380000000	114.1070000000	113.7700000000	
236.3140000000	61.0570000000	59.8520000000	
124.5000000000	153.5610000000	123.5960000000	
183.2230000000	151.3310000000	151.1980000000	
129.3700000000	109.8420000000	90.6990000000	
109.6170000000	78.2590000000	75.6730000000	
91.0690000000	86.4230000000	78.0080000000	

optimized ReproBLAS implementation

5.6720000000	5.4340000000	5.4770000000	
5.3060000000	5.5380000000	5.5640000000	
2.8230000000	2.8510000000	2.8570000000	
1.8350000000	1.8670000000	1.8910000000	
1.8000000000	1.6260000000	1.7080000000	
2.0280000000	2.1220000000	2.0050000000	
2.6140000000	2.7150000000	2.8870000000	
4.4200000000	4.3550000000	4.3830000000	
7.3600000000	7.6700000000	7.4560000000	

