unit: [ms]

reproducible results only

100


seq	0.5711829872	0.5365349934	0.5589139764	
1	0.6269210135	0.6691840244	0.6418129778	
2	0.3947539954	0.2728810068	0.2729670086	
4	0.2718550095	0.2450709871	0.2453839988	
8	0.2140300057	0.1543929975	0.1509849972	
16	2.1163560450	1.1461939430	1.2472600210	
32	2.3497689981	2.0648860373	2.5674009230	
64	5.5387229659	4.6647288837	6.3268998638	
128	16.6710745543	10.9070930630	8.5897445679	


manual seq	1.6922350042	1.6769550275	1.4773840085	
1	0.9457260021	0.9010659996	0.9168289835	
2	1.5145069920	1.4741369523	0.5957239773	
4	0.4800850002	0.4784860066	0.4636349913	
8	0.6669089780	0.6900010048	0.6805559970	
16	2.8934800066	2.7872449718	2.9887869023	
32	4.1116829962	4.2327400297	4.3285521679	
64	7.4063129723	7.3460168205	7.5061959215	
128	13.9883086085	14.0203665942	14.4473565742	

204800.txt


seq	1672.4692583084	1528.6508798599	1548.1623411179	
1	1667.5230264664	1666.0536527634	1666.4096117020	
2	1162.3755693436	1122.1619844437	1104.0841341019	
4	788.8268828392	790.4857397079	789.9823188782	
8	683.4257245064	684.0656399727	685.7706904411	
16	629.2218565941	632.5125694275	602.5084257126	
32	587.5595211983	574.2558836937	586.0443115234	
64	602.9998064041	582.9659104347	570.6037878990	
128	575.6216645241	571.8410611153	565.6464099884	


manual seq	3271.5895175934	3274.2807865143	3273.8301753998	
1	3329.6682834625	3278.8767814636	3293.7254905701	
2	1865.5170202255	1893.0826187134	1861.2235784531	
4	1000.5358457565	1095.8282947540	1006.3536167145	
8	881.0447454453	880.7548284531	883.7423920631	
16	936.1120462418	925.6851077080	932.0372343063	
32	962.7203941345	930.3454756737	949.4006633759	
64	962.5241160393	973.2243418694	957.3606252670	
128	1009.7826719284	998.6731410027	1006.9290399551	

819200.txt


seq	8586.2674713135	8552.5732040405	8560.1816177368	
1	8963.6659622192	8968.0004119873	8961.8120193481	
2	5563.2114410400	5592.0839309692	5612.0724678040	
4	4335.2222442627	4300.8799552917	4299.1523742676	
8	3746.2267875671	3782.6154232025	3792.5593852997	
16	3662.9333496094	3881.2189102173	3907.3703289032	
32	3354.4747829437	3368.0026531219	3328.2315731049	
64	3317.6310062408	3413.7451648712	3308.5734844208	
128	3146.1842060089	3093.5292243958	3232.2256565094	


manual seq	15404.3550491333	15450.7141113281	15398.0207443237	
1	15517.7345275879	15505.2175521851	15543.1089401245	
2	8587.2192382812	8662.3392105103	8787.0836257935	
4	4548.8286018372	4779.5834541321	4881.8922042847	
8	4097.8655815125	4153.0570983887	4199.0108489990	
16	4248.5346794128	4249.0215301514	4258.9678764343	
32	4187.9601478577	4177.2575378418	4208.4507942200	
64	4295.1154708862	4226.0704040527	4223.8454818726	
128	4317.6288604736	4317.0199394226	4305.2659034729	

kdd_cup


seq	9708.9557647705	9597.2681045532	9591.8827056885	
1	10066.8201446533	10064.7039413452	10069.8089599609	
2	7515.0947570801	7518.3930397034	7550.2176284790	
4	5125.8940696716	5119.3633079529	5126.2583732605	
8	4392.5518989563	4328.9680480957	4326.4775276184	
16	3931.6420555115	4071.8030929565	4112.1582984924	
32	3738.3975982666	3879.2464733124	3754.9602985382	
64	3502.7790069580	3542.1082973480	3542.4504280090	
128	3499.2349147797	3462.3184204102	3488.5547161102	


manual seq	17146.1086273193	17278.4519195557	17047.2908020020	
1	17271.3241577148	17298.6145019531	17339.1056060791	
2	9540.4863357544	9716.9094085693	9498.2910156250	
4	5089.8423194885	5300.5270957947	5059.8192214966	
8	4609.1365814209	4623.2542991638	4625.3352165222	
16	4795.9609031677	4776.9918441772	4809.9007606506	
32	4742.6919937134	4723.4673500061	4765.7980918884	
64	4838.5205268860	4825.0193595886	4830.0361633301	
128	4904.7684669495	4926.0802268982	4915.1320457458	

